HULLBQS to HULLDKG duplicate found. 1st Distance: 31, Line Code OO . 2nd Distance: 5, Line Code OO[2]
IMNGREF to IMNGCPG duplicate found. 1st Distance: 150, Line Code [2] . 2nd Distance: 120, Line Code [1]
IMNGCLA to IMNGFHH duplicate found. 1st Distance: 20, Line Code [2] . 2nd Distance: 10, Line Code [1]
IMNGCT2 to IMNGHWJ duplicate found. 1st Distance: 523, Line Code [1] . 2nd Distance: 0, Line Code [2]
IMNGLGB to IMNGLCR duplicate found. 1st Distance: 10, Line Code [1] . 2nd Distance: 0, Line Code [2]
IMNGLOR to IMNGLOF duplicate found. 1st Distance: 22, Line Code [2] . 2nd Distance: 20, Line Code [1]
IMNGLGB to IMNGLOR duplicate found. 1st Distance: 171, Line Code [1] . 2nd Distance: 1, Line Code [2]
IMNGLOF to IMNGLOR duplicate found. 1st Distance: 20, Line Code [1] . 2nd Distance: 22, Line Code [2]
IMNGNOR to IMNGNOG duplicate found. 1st Distance: 125, Line Code [2] . 2nd Distance: 0, Line Code [1]
IMNGNOG to IMNGNOR duplicate found. 1st Distance: 0, Line Code [1] . 2nd Distance: 125, Line Code [2]
ELCT to KNSGHST duplicate found. 1st Distance: 150, Line Code [3] . 2nd Distance: 490, Line Code [4]
ELCT to KNSGHST duplicate found. 1st Distance: 240, Line Code [1] . 2nd Distance: 490, Line Code [4]
LANCUGL to LANCSTR duplicate found. 1st Distance: 834, Line Code ML . 2nd Distance: 1, Line Code OO
LANCUGL to LANCSTR duplicate found. 1st Distance: 834, Line Code GL . 2nd Distance: 1, Line Code OO
ELCT to LILBDGE duplicate found. 1st Distance: 910, Line Code [1] . 2nd Distance: 610, Line Code [2]
LOWSTFT to LOWSTFR duplicate found. 1st Distance: 885, Line Code 2 . 2nd Distance: 1, Line Code E
LOWSTFT to LOWSTFR duplicate found. 1st Distance: 885, Line Code 1 . 2nd Distance: 1, Line Code E
LOWSTFT to LOWSTFR duplicate found. 1st Distance: 885, Line Code 3 . 2nd Distance: 1, Line Code E
EMBKMNT to MANSNHS duplicate found. 1st Distance: 2000, Line Code EB . 2nd Distance: 1950, Line Code WB
MDLSFHH to MDLSDSG duplicate found. 1st Distance: 0, Line Code [3] . 2nd Distance: 50, Line Code [2]
MDLSDSG to MDLSFHH duplicate found. 1st Distance: 50, Line Code [2] . 2nd Distance: 0, Line Code [3]
MLTBLFL to MLTBCLS duplicate found. 1st Distance: 50, Line Code DUPL[2] . 2nd Distance: 0, Line Code DUPL
MLTBCLS to MLTBLFL duplicate found. 1st Distance: 0, Line Code DUPL . 2nd Distance: 50, Line Code DUPL[2]
CFLDJN to MNCRDGT duplicate found. 1st Distance: 293, Line Code DB . 2nd Distance: 202, Line Code ML
MNTLGBR to MNTLLAS duplicate found. 1st Distance: 10, Line Code UGL . 2nd Distance: 46, Line Code DGL
HAROOTH to MOORPK duplicate found. 1st Distance: 1545, Line Code ML[2] . 2nd Distance: 2388, Line Code ML
WTFDSJN to MOORPK duplicate found. 1st Distance: 1443, Line Code ML . 2nd Distance: 1353, Line Code [4]
BRBCNLT to MORGTLT duplicate found. 1st Distance: 350, Line Code [1] . 2nd Distance: 300, Line Code [2]
NEVLTMD to NEVLFPT duplicate found. 1st Distance: 38, Line Code GL . 2nd Distance: 10, Line Code [5]
NEVLTMD to NEVLFPT duplicate found. 1st Distance: 50, Line Code [2] . 2nd Distance: 10, Line Code [5]
NEVLFPT to NEVLTMD duplicate found. 1st Distance: 10, Line Code [5] . 2nd Distance: 38, Line Code GL
NEVLFPT to NEVLTMD duplicate found. 1st Distance: 50, Line Code [1] . 2nd Distance: 38, Line Code GL
OXENHLM to OXENUGL duplicate found. 1st Distance: 1, Line Code UGL . 2nd Distance: 500, Line Code GL
PENGGBR to PENGAMS duplicate found. 1st Distance: 323, Line Code _REC3 . 2nd Distance: 77, Line Code REC3
PENGAMS to PENGGBR duplicate found. 1st Distance: 77, Line Code _REC3 . 2nd Distance: 323, Line Code REC3
PTBNGBR to PTBNDBS duplicate found. 1st Distance: 10, Line Code [2] . 2nd Distance: 120, Line Code [1]
PTBNDBS to PTBNGBR duplicate found. 1st Distance: 120, Line Code [1] . 2nd Distance: 10, Line Code [2]
SHPYCEA to SHPYCE duplicate found. 1st Distance: 35, Line Code [2] . 2nd Distance: 75, Line Code [1]
SHPYCE to SHPYCEA duplicate found. 1st Distance: 75, Line Code [1] . 2nd Distance: 35, Line Code [2]
SNDYFD to SNDY duplicate found. 1st Distance: 10, Line Code DGL . 2nd Distance: 39, Line Code GL
SNDY to SNDYFD duplicate found. 1st Distance: 39, Line Code DGL . 2nd Distance: 10, Line Code GL
HDRSFLD to SPWDJN duplicate found. 1st Distance: 0, Line Code _P2 . 2nd Distance: 643, Line Code OO
STOCGBF to STOCDC duplicate found. 1st Distance: 5, Line Code [2] . 2nd Distance: 10, Line Code [1]
TABYTMD to TABYFLD duplicate found. 1st Distance: 190, Line Code OO . 2nd Distance: 100, Line Code [2]
TABYFLD to TABYTMD duplicate found. 1st Distance: 100, Line Code [2] . 2nd Distance: 190, Line Code OO
TOLWTHS to TOLWTH duplicate found. 1st Distance: 201, Line Code _OO . 2nd Distance: 10, Line Code OO
TONBPOS to TONBDG duplicate found. 1st Distance: 322, Line Code MLO1 . 2nd Distance: 0, Line Code MLO2
TONBDWY to TONBDWG duplicate found. 1st Distance: 382, Line Code DG . 2nd Distance: 637, Line Code GL
TONBDWG to TONBDWY duplicate found. 1st Distance: 637, Line Code GL . 2nd Distance: 382, Line Code DG
TONBDG to TONBPOS duplicate found. 1st Distance: 0, Line Code MLO2 . 2nd Distance: 322, Line Code MLO1
